Nama Pengulas,Ulasan,Rating
triseptiana Rizal,"Baristanya ramah apalagi yang wanita, kopi nya enakkk
Jenis pesanan
Maka…
Lainnya",5 bintang
Rita Sahara,"Enak banget kopinya,baristanya ramah sekaliii 🤍🤍🤍 …
Jenis pesanan
Pesan…
Lainnya",5 bintang
Syahrul D,"kopinya enakkk tempatnya nyaman
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Wina Juliana,"Baik
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Primajaya Pvc,"Kopi nya enak, pelayanan nya juga ramah cepet jugaa🤩 …
Makanan: 5…
Lainnya",5 bintang
Fitri Yani,"Pelayanan nya ramah
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
kesuma wijaya,"mantap keren uhuyyy
Makanan: 5
Layanan:…
Lainnya",5 bintang
Devi Sagita,"tempatnya okee banget cocok buat nongkrong dan wfc
Makanan: 5…
Lainnya",5 bintang
putri anggraini,"tempatnya nyamaann bangett, pelayanannya juga oke bangett 🤩🤩🤩 …
Makanan: 5…
Lainnya",5 bintang
Risda Wati,"FIX JADI COMFORT PLACE!!!!
Makanan: 5…
Lainnya",5 bintang
Rafael satria,"Kopinya enak, tempatnya sangat nyaman untuk nongkrong atau sekadar me time. Poin plusnya cabang ini buka 24 jam, salah satu tempat santai saat malam di area Jakarta pusat. Lainnya",5 bintang
nyimas,"tempatnya oke buat quick coffee break. bersih, terus baristanya juga ramah polll mantap lah. tadi cobain menu barunya/pesen menu favorit biasa, rasanya konsisten enak boss",5 bintang
Cristian Armando Javane Sianipar,Kopi nya enak barista nya ramah banget,5 bintang
Nabila Saputri,"pelayanan nya ramah, tempat nya nyaman
Makanan: 5…
Lainnya",5 bintang
Yuli Maryana,"Tempatnya nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
rasya rindra,"tempatnya nyaman dan adem untuk belajar, kopinya nikmat dan enak
Makanan: 5…
Lainnya",5 bintang
Syahnanda Vida,"overall enak semuanya gaisss dan pelayanannya okeee 👍🏻👍🏻🥰🥰 …
Jenis pesanan…
Lainnya",5 bintang
Elsa Laulisfhira,"Seruuu nongkrong distu ampe subuh, makasih....
Makanan: 5…
Lainnya",5 bintang
Princes Helen,"Tempatnya bersih, enak buat nongkrong. Pelayanannya juga cepet dan ramah. Overall oke banget buat ngopi santai Lainnya",5 bintang
