Nama Pengulas,Ulasan,Rating
Firencius Artansah,"Rasa kopi yang enak dan cabang yang bener sesuai serta paten sama takaranya aku rasa ini aja sih (Kopi kenangan NeoSoho), btw pelayanan semua karyawan kopi kenangan ramah semua hebat deh hihi, terus berkembang dan selalu ciptain menu baru yaa ❤️❤️ 我对在的人感到很舒服💙我对Neo Soho商店的人感到很舒服 … Lainnya",5 bintang
Trantor Dust,"Sekelas kopi kenangan aja tissu aja di limit, pakai di simpan dalam lemari, takut miskin kah ? Kalah ama janji jiwa ama kopi2 lain tissu yg letak aja di meja pick up, memalukan",1 bintang
Mellisa Capriconny Irawati,"pembayaran kopi dengan debet dengan ATM yg sedang promo saat itu,, tetapi tidak diperbolehkan dengan alasan :
1.  debet selain bank BC* minimum 50rb ,,padahal d t&c tidak ada minimum … Lainnya",1 bintang
Herman Subekti,"Suka karena suasana tidak padat, kebersihan cukup baik serta adanya pembatasan pengunjung...cuma agak terganggu dengan pembatas karena agak terhalang utk bicara. Pelayanan informatif serta ramah, AC cukup sejuk walau kaca besar serta sinar matahari cukup terik",5 bintang
Irkon sihombing,"Suasananya enak, mbak mbak nya juga ramah poll
Jenis pesanan
Makan di te…
Lainnya",5 bintang
BroArief S,"Bagus tempatnya, dekat lobby
Makanan: 5…
Lainnya",5 bintang
dheo ariescho putera,"Gak paham maksudnya ini apa? Saya order dengan grab food, stiker nya bener Large, tapi cup nya kecil!!! Bukan soal duitnya, tapi ini seperti di anggap sepele. Pelayanan saya anggap sangat jelek!!!!",1 bintang
lastiar silaban,"Hari ini saya minum tea thai sekitar pukul 18.00, rasanya beda dari yang biasanya...rasanya kog cuma rasa gula biasa yang berasa,,padahal dulu saya demen minum tea thai nya disini",3 bintang
Angel Ly,"Pelayanan cepat dan ramah, lokasi disebrang java kitchen, harga standard pakai o**/g****/d*** dapat promo, rasa selalu setia dengan kenangan mantan paling cucok pilihannya.",3 bintang
Mear Vic,"Tempat paling enak dari kopi kenangan buat ngopi sambil nongkrong, ada sofa nya, tempatnya luas. Rasa kopi enak terutama mantan dan avocado. Lainnya",5 bintang
JEJAKAKI,Lebih sepi dr pd yg di CP.. cuma ngga ngerti mereka penyajiannya kaya gimana.. order no 45 yang jadi duluan no 48 😔😔😔 …,3 bintang
Silvia Rafika,"tempatnya nyaman bangetttt.. luas dan ada tempat duduknya. buat yang mo WFC boleh ke sini
Jenis pesan…
Lainnya",5 bintang
Will Nafelea,pelayan yg lalai'menu tdk update..sehingga saat driver datang br dilihat aplikasinya..sehungga driver menunggu lebih lamaa,2 bintang
Yoko Prakoso,"Nyaman banget buat nongki, banyak promo juga...
Jenis pesanan
Makan di t…
Lainnya",5 bintang
aryana satrya,"Lokasi bagus untuk membunuh waktu, paket makanan dan kopi murah. Kalau ada stop kontak akan lebih menarik Lainnya",5 bintang
Foshan Liemungenda,"Ramah banget pelayanannya, bahkan ditawari voucher gopay atau ada promo dikasih tau … Lainnya",5 bintang
Rendy Indriyani,Saya bilangin aja untuk pembelian lewat  Greb jangan pernah beli kantong dari dia karna dia curang kasian dong klo orang di curangin semoga bermanfaat,1 bintang
Andreas Matondang,"Crew ramah Kopi enak, tempat cozy",5 bintang
Odilia Yenti,Sore.. Mampir... Hbs muterin CP n neo Soho capee... Seruput Caramel Coffee n Black Lemon Tea.. N slices Cinamont Raisin roll.. 😋🥤🍮... Rehat leha leha sejenak... …,3 bintang
Hari Azhari,"Pelayanan Buruk, Voucher tidak bisa digunakan",1 bintang
Leo Nardo Wijaya,"Tempat good, suasana good, rasa good, harga good. Sayang, tidak ada stop kontak. Mungkin tidak diperuntukan untuk berlama-lama di tempat. Overall good!",4 bintang
Santosa Putra,"Tempat nya enak banget buat nongkrong ,kopinya seperti biasa gk mengecewakan..",5 bintang
zhang zen bai,"Pesen Americano Juwara 2x

Tapi di kasihnya kenangan Blend,
Kecewa lah
Jenis pesanan…
Lainnya",1 bintang
Hery Susanto,Tempat yang nyaman utk meeting atau bersantai,5 bintang
daniel dwi surya,"Salah satu kopken yg gede storenya.. pelayanan cepat meskipun rame, good job!",5 bintang
Nina,"Social distancing checked, spacious
Kasirnya ramah
Kopinya udh jgn dity",5 bintang
Inez Halim,"Sudah menerapkan protokol kesehatan dengan baik. Rasa kopi kenangan mantan juga pas, susah dilupakan",5 bintang
mori yati,"Ada complain an lgs diganti dngn yg baru
Makanan: 5…
Lainnya",5 bintang
Hendra Tanamal,"Pelayanan buruk tidak sesuai sop kerja
Makanan: 1…
Lainnya",1 bintang
Amelia,"makin hari makin lama mesen kopi doang butuh 20 menitan
Jenis pesanan
Ba…
Lainnya",2 bintang
Hendri,"Kopinya enak, pelayanan cepat, antrian cepat
Makanan: 5…
Lainnya",5 bintang
Ridwan Andriansyah,Bs buat duduk2 melepas lelah.,5 bintang
jafrin khodari,"Masih terima cash, good
Makanan: 4…
Lainnya",4 bintang
Chintia Anggraeni,"Tempatnya enak untuk nongkrong, karena sudah mengikuti protokol kesehatan..",5 bintang
Lie Cn,"Suasana nyaman, cocok untuk wfc
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Gugun Sulaeman,"Posisi mudah dijumpai, depan pintu. Cuman karyawannya sedikit kurang peka sama customer.",4 bintang
Mike Lauw,"Penempatan kasir jangan org baru, bikin antrian panjang...",1 bintang
Suhardjo Prajitno,Lokasinya bagus didepan dan protokol kesehatan jalan ..jadi nyaman dan aman,4 bintang
Arkan Khairypratama,"Parah pelayananya buat orderan GOFOOD ga sopan karyawanya
Makanan: 1…
Lainnya",1 bintang
Ben Lim,"Tempat tidak terawat dengan baik. Rasa kopinya hambar
Jenis pesanan
Bawa…
Lainnya",2 bintang
Joey Chan,Penuh kenangan,5 bintang
Hariz Droid,"PELAYANAN SANGAT BURUK... BARISTA yang Pendek BANYAK GAYA !!!
Layanan: 1",1 bintang
Luis Andrew,Tempatnya nyaman untuk nongkrong dan racikan minumannya pas,5 bintang
Peter Barton,Kopinya sangat terrasa,5 bintang
La Ode Abdul Wahid,"Internetnya super lemot!
Jenis pesanan
Bawa pulang…
Lainnya",3 bintang
Muhammad OakLe,"Udah lama ga sopan santun nya jorok lagi
Makanan: 1…
Lainnya",1 bintang
Istar Fahlevi,Lama cuma minta bil buat pickup lama bener,1 bintang
erwin christian,"Top kopinya, top tempat nya",5 bintang
Koko,Kopi Dolce TOP BGT dah,4 bintang
Fitri Andarani fam's,tmpt ni favorite bgt buat meeting jg loch,5 bintang
Justinus U,"Luas tempatnya, enak, adem, no-smoking 👍 …",5 bintang
Ndy One,Enak banget,5 bintang
Suratno Ratno,Resto sudah di bantu penjualan masih tidak respon,1 bintang
Sun Ki,Mantul brooo...... Boleh dicoba,5 bintang
Elprida S,Tempat nongkrong nya bagus dan nyaman,5 bintang
Malaa Mala,"Tolong karyawan nya di didik lagi
Layanan: 1",1 bintang
Evita Widasari (Pipi),Storenya minimalis dan nyaman untuk nongkrong.,4 bintang
Vincen C,Sayang ga ada colokan public,4 bintang
David Mulyono,Tempat nongkrong neosoho paling mura,5 bintang
TLS #crash,Luar biasa enak,5 bintang
bandi bandot,Asik buat nongkrong,5 bintang
