Nama Pengulas,Ulasan,Rating
Rose Vineta,"Parah dah, baru ini makan dine in chigo. Tapi mas-mas kasirnya jutek banget. Haha gak lagi dehhhhh
Makanan:…
Lainnya",3 bintang
Monica Kore,"Suka banget nongkrong lama disini, wifi nya cepet, karyawan ramah, bersih.
Jenis pesanan…
Lainnya",5 bintang
Rizky Agustina,"suka sama kopi kelapanya kopken, mantulllll. yg di sini juga nyaman bgt tempatnya
Jenis pesanan…
Lainnya",5 bintang
ArifPW,Gila lama servisnya.. rasa kopinya jg beda sama kopken lainnya.. not recommended deh..,1 bintang
Izar,"Enak buat tempat nongkrong.. tapi banku nya bikin ga nyaman.. ga enak duduk2 lama
Jenis pesanan…
Lainnya",5 bintang
A Hadi G,Tempat duduk buat nongkrong lumayan enak (walaupun sore) dan luas. Mau di tempat ac juga ada,5 bintang
MOH Rohim#,"Nyaman buat nongki2 gess...
Transportasi online jg banyak grab &gojek
Makanan: 5…
Lainnya",5 bintang
Kang NO,"Selalu Terbaik, Aman Nyaman Luar Bayk Plihan makann N minuman
Makanan: 5…
Lainnya",5 bintang
f gmlng,kakkk kenapa close gabisa pesan dr app,5 bintang
Senjawa Koffie,"Burgernya kurang enak, dengan harga segitu sih ga worth it
Jenis pesanan…
Lainnya",3 bintang
Rama Sumadiwiria,"atmosphere nya gak semewah dan senyaman Starb**ks.. tapi worth with the price..
Jenis pesanan…
Lainnya",5 bintang
Gabriella Bunga P,"Tidak ada stopkontak sama sekali, tidak ramah wfc",4 bintang
Trias Budhi Lestari,"Tempatnya nyaman dan luas, enak utk kumpul dgn teman.
Jenis pesanan
Maka…
Lainnya",4 bintang
Heru Setiawan,"Tempatnya menyenangkan, cukup nyaman untuk ngobrol sambil ngopi
Jenis pesanan…
Lainnya",5 bintang
Novisa Yuni Ramadhan,"cozy sekali tempatnya buat nongki sama temen !!
Jenis pesanan
Makan di t…
Lainnya",5 bintang
Della Saafira Aynayya,"Enak tempatnya besar kalo disini, tempatnya ada untuk ngeroko dan engga
Jenis pesanan…
Lainnya",5 bintang
Ah Proll,"Enak coffe nya enak tempatnya rame banget
Makanan: 5…
Lainnya",5 bintang
Eddy Saputra,"Titik lokasi tidak jelas
Di arahkan masuk komplek
Cari cari di sekitae ruko joglo tetap tidak ketemu",1 bintang
Fatony A,"kopi favorit + chigo tapi kuranh ga ada cookiesnya hehe
Jenis pesanan
Ba…
Lainnya",5 bintang
dilla,"pelayanan ramah
Makanan: 5
Layanan:…
Lainnya",5 bintang
Putri Yuliyanti,"Lelet, mau order aja udh nunggu 20 menit",1 bintang
Jorykoenyit Koenyit,"Nikmatnya
Makanan: 5
Layanan:…
Lainnya",5 bintang
Diyan Agustiar,"Bukanya cuma sampai jan 11 malem
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Khairul Umam,Alamatnya sangat menyesatkan.. sejauh 3 km jaraknya sama yang benar.,1 bintang
Aprial Ramadhan,"Parkir luas, tempat nongkrong luas, mantap 👍 …
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Julius Ronald,"Spot nya bagus, space sitting nya cukuo
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
rizky nurvatiah,"Mantul
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Hendra Dana Putra,"Semua oke, seperti biasa. Semangad
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Abdul Rahman,"Menyenangkan.... Enak buat nongkrong
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Mona A. Yuwono,Jajan kopi... tempatnya deket sama seafood...,5 bintang
Dwi Ayu,"Karena lokasinya di pinggir jalan jd bising banget
Jenis pesanan
Makan d…
Lainnya",5 bintang
Dwi Waluyo,"Tempatnya bersih, didalam ataupun di luar
Makanan: 5…
Lainnya",5 bintang
Without Wings,"Tidak ada colokan, cafe tapi gak ada colokan
Jenis pesanan
Makan di temp…
Lainnya",1 bintang
stanislaus aditya,"Good service dan enak buat nongkrong
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
yunay 86,Lagi enak enak ngopi ada gempa..,4 bintang
Emil Arif Nur,"Chigo... oh chigo...  pelayanan lama
Merugikan waktu....",1 bintang
Pebi Fitriani,"Pelayannya tidak ramah dan lambat.
Makanan: 5…
Lainnya",3 bintang
budi hartono,"Pelayanan cepat
Waktu tunggu
Maks 10 menit",4 bintang
Lili Hermawan,"Cocok buat nongkrong bareng
Makanan: 5…
Lainnya",5 bintang
Mali Sudji,"Enak, tapi parkirannya bayar
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Pratiwi Hanafiah,"Cocok untuk ngopi sambil ngobrol
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Linda Roseyanti,Bagus tempatnya dan pelayanannya cepat,5 bintang
Jogo Boyo,"Kopinya muantaab...
Makanan: 4
Layanan:…
Lainnya",5 bintang
