Nama Pengulas,Ulasan,Rating
Bella Amalia,"Selalu ramai dengan orang-orang — tempat nongkrong favorit warga lokal. Kopinya berkualitas tinggi, kaya rasa, dan diseduh dengan sempurna. Baik Anda mampir untuk secangkir kopi cepat atau berlama-lama menikmati suasana yang semarak, tempat … Lainnya",5 bintang
Raisha Ashilla,,5 bintang
rach,,3 bintang
Nanda Haifa,,5 bintang
Daffa ISMAIL,"Ini bagus untuk nugas dan santai.
Makanan: 5…
Lainnya",5 bintang
Bintang Moehtar,,5 bintang
Farell Rizky Ramadhan,,5 bintang
giza ginting,,5 bintang
Franasa Aditya Nugraha,,5 bintang
Imam Yakub,,5 bintang
yuli yana,,5 bintang
oji oij,"Suasananya menyenangkan dan ramai, pelanggan dan barista juga sangat harum.
Jenis makanan…
Lainnya",5 bintang
Nicholas Sean,"TERBAIK TERBAIK TERBAIK
Makanan: 5…
Lainnya",5 bintang
fahmi abinayan,"abang saya
Makanan: 5
Layanan:…
Lainnya",5 bintang
Rakha Maesa Arkana RMA,"pelayanan yang baik
Makanan: 5
Layanan:…
Lainnya",5 bintang
Wildan pratama Wahyuno,"Aku suka tempat ini!
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Tria Ishma,,5 bintang
Slow Dhis,,5 bintang
Reza Tajibally,,5 bintang
Arif Dwi,,3 bintang
