Nama Pengulas,Ulasan,Rating
Anwar Supono,"Cepat pelayanannya dan kopinya enak
Makanan: 5…
Lainnya",5 bintang
wisnu wicaksono,"Pelayananya kurang baik
Layanan: 1…
Lainnya",2 bintang
Dian Listya,"Rasa kopinya masi berubah ubah,",4 bintang
arfan reynaldi,Tidak ada parkiran untuk mobil,3 bintang
Mardi Santoso,"Ngopi kenangan mantan. Rasa biasa.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Mahesa Indrawan,Just like ordinary Kopi Kenangan outlet.,4 bintang
Rachmat Zulfikri,Tempat yang nyaman utk meeting,5 bintang
Fadli,"Asyik"" aja sih
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Nimade Annisa,Staff nya ramah~,5 bintang
IGNASPUT JOURNEY,"Kopi kenangan pada umumnya
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Irfan Maulana,🤗 …,5 bintang
Dwi Trisya Putra,"Sesuai titik
Makanan: 5
Layanan:…
Lainnya",5 bintang
DECKI MELVAREZI,Strategis,5 bintang
Dewi Supriyadi,Betah d sini,5 bintang
Raihan Ramadhani,"pelayanan nya sangat ramah, apalagi barista langganan saya ka elis, selalu senyum saat melayani customer, pokonya ⭐️5 buat outlet yang di lebak bulus, pelayanan nya bener bener juaraaa besssttttt Lainnya",5 bintang
Tati Rosidah,"Menyenangkandan nyaman  apa lagi SPG nya ramah
Makanan: 5…
Lainnya",5 bintang
harleyna davesty,"best banget pelayanan mba elis asya love pokonya rekomendasiin minumannya
Makanan: 5…
Lainnya",5 bintang
Betrank Alexa,"Pesanan yang dibuat sering salah, contoh pesan caramel dutch choco, caramelnya tidak ada. Sering juga terasa hambar. Lainnya",1 bintang
A F R I Z A L . C H A N I A G O,Untuk nongkrong cocok banget dah tempat nya apa lagi akses untuk mampir nya juga gampang karena ada Transjakarta dan MRT nya Lainnya,5 bintang
Yoga Putu,"Kopi Kenangan Ruko Lebak Bulus nih kopinya mantap, rasa konsisten, manisnya pas. Tempatnya cukup enak buat singgah bentar, lokasi juga gampang diakses. … Lainnya",5 bintang
Almier Alfath Sentosa,"Tempat yang kebersihannya terjaga dan baristanya ramah semua
Makanan: 5…
Lainnya",5 bintang
Edalina Tarigan,"Beberapa kali datang kesini.  Baru kali ini dapet ""Mas""nya yang okeh, friendly, senyum sapa.  Keren Mas Almier.  😎. Semoga semakin sukses. … Lainnya",4 bintang
anindya putri,"nice place, pelayanannya bagus banget dan pelayannya sangat ramah ⭐️10
Jenis pesanan…
Lainnya",5 bintang
Frans Hutajulu,"Seru , barista nya enak di ajak komunikasi .
Jenis pesanan
Makan di temp…
Lainnya",5 bintang
Mahda 1509,"Tempat bersih dan nyaman buat nugas dan pelayananya jga ok barista nya asik asik
Jenis pesanan…
Lainnya",5 bintang
Devi Sri Anjani,"Sangat kecewa dengan pengalaman di Kopi Kenangan Lebak Bulus.
Parkirnya menyatu dengan parkir stasiun MRT, dan motor kami dikunci di basement sekitar jam 11 malam tanpa adanya konfirmasi atau pemberitahuan sebelumnya. … Lainnya",1 bintang
Heribertus Aan,"Lokasi :
Di bawah stasiun mrt lebak bulus, letaknya di ruko.
Parkirnya area terbatas, agak ketutupan sih krn dibawah stasiun. … Lainnya",5 bintang
Riski Hasanah,"Kecewaaaa nunggu rada lama gak di info dari pas dateng, mau order malah disuruh duduk disuruh nunggu tanpa info klo frappe di sana lagi kosong udh duduk nunggu2 taunya kosongggg Lainnya",3 bintang
Abimanyu anggraito wijoyo abimanyu anggraito wijoyo,"kita pernah di siniii !!!
Makanan: 5…
Lainnya",5 bintang
MAWI Travel,Mau beli kopi kenangan tapi parkir nya selalu penuh kata tukang parkir.. kayaknya kopi kenangan salah pilih tempat usaha disitu.. gw selalu diusir klau mau beli kopi disitu.. Lainnya,5 bintang
Egi Tesar Registin,"Enak tempatnya dan ramah staffnya
Makanan: 5…
Lainnya",5 bintang
SULTAN MUHAJIR,"tempatnya nyaman, kopinya juga enak enak semua dan ngga ngebosenin buat milih milih menu kopinya. paling the best mactha lattenya si Lainnya",5 bintang
brokeshood canels,"Lelah aktifitas mampir dulu beli kopken biar tetap waras
Jenis pesanan
B…
Lainnya",5 bintang
Dhipa Dharma,"sejauh ini , ini tmpt yg bersih , pelayanan nya jg oke si pegawainya ramah lg
Jenis pesanan…
Lainnya",5 bintang
Maulana Ashari,"Tempatnya cukup nyaman dan bersih dan pelayanannya sangat ramaah saya sangat sukaa
Makanan: 5…
Lainnya",5 bintang
Alan Ashari,"Pelayanannya sangat ramah tempatnya sangat  nyaman
Makanan: 5…
Lainnya",5 bintang
Rangga Masaid,"Pelayanan baik, tempat nyaman
Layanan: 5",5 bintang
Bagus Sadega,"Pelayanannya ramah2, kopi nya enak cocok buat nongkrong pas pulang kerja 🔥 …
Makanan: 5…
Lainnya",5 bintang
Muhammad Farhat,"Okee banget pelayanan ramah, tempat asik, fasilitas lengkap
Makanan: 5…
Lainnya",5 bintang
Shafa,"So bad pelayanan barista cewek kerudungan sama yg cowok, berisik bercanda mulu bikin lelettt dan tidak ramah, hadeh capek kalo harus komplain tuh, tolong perbaiki dong!!!!!",1 bintang
Rachma Utii,Ini di gofood buka pas di samperin resto nya tutup gimana?,1 bintang
Firmansyah,"staffnya gak jelas bgt mondar mandir mulu, ganggu kenyamanan bgt. kebanyakan staff.
Jenis pesanan…
Lainnya",1 bintang
