Nama Pengulas,Ulasan,Rating
sandra elsera,"Kopi langganan
Terbaik 🫶🏻 …
Makanan: 5…
Lainnya",5 bintang
Kindy Miftah,"Tempatnya nyaman utk ukuran kedai kopken
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
David Winslow Pardede,"Kenangan yg indah bersamamu tinggallah Mimpi-mimpi  kata si Kaka
Tarif per orang…
Lainnya",5 bintang
Rinaldo Maharditama (Aldo),Kesini ceritanya cuma mau pickup order OG Kopi Gula Aren dengan topping krenyes  kayumanis (kolaborasi desain dengan Ivan Gunawan) - saya ambil yang double shot. … Lainnya,4 bintang
MELLIA WAOMA,"Pelayanan baik meski tempat parkir minimal tapi suasana dan pelayanan cepat serta baik
Jenis pesanan…
Lainnya",5 bintang
Elisabeth Lalita,"Kopi Kenangan 24 jam. Tempatnya agak kecil.
Makanan: 5…
Lainnya",5 bintang
Saskia Nur Ayudia,"MAKANANNYA ENAK, PELAYANNYA BAGUS, TERMASUK BARISTANYA, MAS FADLY KALAU TIDAK SALAH, JD MAU SUBSCRIBE 🤍🤍🤍🤍 … Lainnya",5 bintang
Nader Khalid,Mereka punya Americano dan matcha latte yang lezat 😋 …,5 bintang
Rizka Putri Yulianda,"👍 …
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
anggaputraginting,"Para pelayannya ramah.
Makanan: 5
Layanan:…
Lainnya",5 bintang
Ridho Hadi Murtadho,"terbaik
Makanan: 5
Layanan: …
Lainnya",5 bintang
Gerhat Daniel,,5 bintang
John B,Latte yang mengerikan,1 bintang
Randi Wiranata,"Direkomendasikan
Makanan: 5
Layanan:…
Lainnya",5 bintang
Ai Jabarekspres,,5 bintang
Syahrizal Andre,,5 bintang
Dioscurious,,5 bintang
Gloria Kristin Natalia,,5 bintang
Kayla Adya,,5 bintang
deby citraaa,,5 bintang
Sania Agustin,,5 bintang
Nurul Lintang,,5 bintang
ADJIE SAPUTRA,,4 bintang
Sa'adah Khoerunnisa,,5 bintang
viena cindy,,5 bintang
Kasyifa Millah . K 9c,,5 bintang
Deajeng Nailah G S,,5 bintang
aileen fedora,,5 bintang
Raimas Aiman Fadhel Al-Ameri,,5 bintang
GURUH SUKARYA PUTRA,,5 bintang
Indri Yani,,5 bintang
VShiHafa_,,5 bintang
Isma Maulida,,5 bintang
Mustapi,,5 bintang
Deshella Wira,,5 bintang
Puji Hastuti,,5 bintang
fauziah maryani03,,5 bintang
zirah ayu,,5 bintang
Nazhif Putra alana,,5 bintang
Siti Zahra,,5 bintang
Aldev allo,,5 bintang
152023030108 Dhenanda Ovita,,5 bintang
aqilaputri,,5 bintang
