Nama Pengulas,Ulasan,Rating
Andika Septian,,5 bintang
ImanSyarif,"Pelayanan yang baik
Makanan: 5
Layanan:…
Lainnya",5 bintang
Putri Karina,,5 bintang
ridho Saputra,,5 bintang
Aryana Paramita,"Gerai KopKen yang baru dibuka di Blok M Plaza lantai 6. Stafnya sangat ramah, takaran gula bisa disesuaikan. Kopi Kenangan Mantan seperti biasa, dan saya mencoba roti garam daging sapi terlaris mereka. Lainnya",5 bintang
Aninda Fadillah,"yang terbaik deh
Makanan: 5
Layanan:…
Lainnya",5 bintang
Gaming Man,,5 bintang
Ichell Angela,,5 bintang
Camelia Salafi,"Ngopi bareng kerja di KopKen ☕️
Suasana hangat, pelayanan ramah & sangat membantu.
Jenis pesanan…
Lainnya",5 bintang
Doyle Green,"tempat nyaman untuk bersantai
Makanan: 5…
Lainnya",5 bintang
Ulfa Lola,,5 bintang
Dally Frampton,"Tempat yang bagus untuk bersantai dan ruangannya luas.
Jenis pesanan
Mak…
Lainnya",5 bintang
Khoirunnisa Nur Fithria,"Pelayanan bagus! Kerja bagus!
Makanan: 5…
Lainnya",5 bintang
mefita fariski,,5 bintang
Reshi Rahmawati,,5 bintang
Agustina Slow Dakia Manurung,,5 bintang
Reghyta Putrie,"suasana♾️
Makanan: 5
Layanan:…
Lainnya",5 bintang
Indah Wantika,,5 bintang
Adam Rosadi,,5 bintang
Jessica Elshadaira Helvani Siahaan,"Tempatnya sangat nyaman dan sangat bersih💖 …
Jenis pesanan
Makan di tempa…
Lainnya",5 bintang
Samsung A56,,5 bintang
Lulu Oktaviani,"Pelayanan yang baik serta makanan dan minuman yang enak.
Jenis pesanan
M…
Lainnya",5 bintang
Jeffrey Liandi,,5 bintang
Melpin78 Melpin78,,5 bintang
melvyn navidzha,,5 bintang
Sanah Uji,,5 bintang
