Nama Pengulas,Ulasan,Rating
Tripsunyi _,"Kopi nya enak dan karyawan nya ramah ramah
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Meli Saputri,"Temat nya bersih dan nyaman
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Mul Yadi,"Pelayanan nya baik, tempat nya bersih dan nyaman
Jenis pesanan
Makan di …
Lainnya",5 bintang
wisnuaji nugroho,"tempat nya nyaman dan minuman nya top, tapi bener bener rame kalo malem malem kesini sampe ga dapet bangku😭 … Lainnya",5 bintang
HEAVENLY “HEAVEN” DEMON,"dari segi pelayanan nya oke banget, tempat nya cocok untuk nongkrong brame rame
Jenis pesanan…
Lainnya",5 bintang
Alter Ego,"makanan dan minuman nya enak
Makanan: 5…
Lainnya",5 bintang
Aprilia Maulidiana,"tempatnya nyaman, apalagi kalo weekdays engga terlalu ramai, barista nya juga ramah ramah semua
Makanan:…
Lainnya",5 bintang
Hlx Xol,"rekomend buat anak anak muda maupun tua bisa cobain nongkrong di sini
Jenis pesanan…
Lainnya",5 bintang
Najwa Azira,"sudah oke dan bagus tapi kurang colokan
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Azizah Azibran,"Kopi enak dan bagus tempat nya
Makanan: 5…
Lainnya",5 bintang
Irgy Ahmad,Kopinya enak Dan tempatnya nyaman,5 bintang
Mutiara Amelia,"So far pelayanan nya oke. Segi tempat pun comfy cocok untuk santai ataupun WFC. Recommended.
Makanan:…
Lainnya",5 bintang
Tiarani Nazilah,"tempatnya pw banget, asik, nyaman lah pokoknya
Makanan: 5…
Lainnya",5 bintang
reayovita backup,"over all aman semua dan enak rasanya
Makanan: 5…
Lainnya",5 bintang
nadia mulkii,"rasanya enak dan konsisten
Makanan: 5…
Lainnya",5 bintang
Achmad Fadillah,"kopinya enak, baristanya asik dan ramah, rasanya juga konsisten
Makanan: 5…
Lainnya",5 bintang
nabila sputri,"tempatnya luas bgt, enak buat nongkrong lama lama, baristnya ramah juga
Makanan: 5…
Lainnya",5 bintang
Asri Sri,"cobain menu baru kopken thai tea gula aren, baristanya sabar bgt jelasin promo dan potongannya brpnya. tmptnya jg luas bgt.. Lainnya",5 bintang
Gorengan Subuh cover,"nyaman, bersih banget
Makanan: 5
Layanan:…
Lainnya",5 bintang
no name febry,"Nyaman mantull
Makanan: 5
Layanan:…
Lainnya",5 bintang
Haikal ganteng,"rasa kopinya enak,terjangkau
Makanan: 5…
Lainnya",5 bintang
Abdul qodir Jailani,"Suasananya adem dan kopi nya enak
Makanan: 5…
Lainnya",5 bintang
Kenzie A Kayana,"Suasananya adem, kopi nya enak, mantep👍 …
Makanan: 5…
Lainnya",5 bintang
Siti Kholifah,"tempat bagus, makanannya enak
Makanan: 5…
Lainnya",5 bintang
Annisa Ws,"Tempatnya luas, nyaman, banyak stop kontak disini. Cocok buat yang mau wfa atau sekedar nongkrong disini.
Ada smmoking area, toilet dan mushola yang nyaman👍💛 … Lainnya",5 bintang
Imams,Tempat nya enak ..parkirnya doang kaga jelas sama anak bocil,5 bintang
Vi Via,"Bagusss👍👍👍🫶🏻 …
Makanan: 5
Layanan:…
Lainnya",5 bintang
vie via,"Bagus tempat nya👍👍👍🫶🏻 …
Makanan: 5…
Lainnya",5 bintang
April Riyani,"Kopi kenangan mantan nya gaenak, rasanya gak konsisten, kadang kopi nya paittt bgtt, kadang manis doang, so sad Lainnya",2 bintang
Rifqi Nuur Hidayah,tempatnya nyaman apalagi klo kesininya sama kamu,5 bintang
Kurniya Indra.,"barista nya baik dan pelayanan nya oke
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Nell,"Overall seperti layaknya kopi kenangan lain untuk makanan dan pelayanan nya yang oke, tapi untuk yang start dari malam sampai subuh playlist nya agak monoton lagu timur (tdk brmksud rasis) tapi nggak semua orang suka playlist lagu timur terus"" an bisa di sesuaikan dengan lagu pop agar ambience nya nyaman untuk semua pelanggan😁 … Lainnya",3 bintang
sidni farhan,"wifi nya lemotttttttt
Makanan: 5
Layanan:…
Lainnya",1 bintang
kristi yuliani,"Aku udah dua kali ke sini, tempatnya adem, ada smoking area juga di outdoor, ac nya dingin banget, pelayanannya ga lama dan ga cepet juga.. standar lah ya. Sayang banget crew di sini kadang cuma satu, jadinya kek dia keteteran sendiri karna … Lainnya",5 bintang
Fajar likawan,"Ini kan buka 24 jam yaa, kenapa staff nya resah kalo ada cust nongkrong tengah malem. Nyapu / bersih"" meja di banting"" brisik bgt Lainnya",1 bintang
Muhammad Nasril Nufa,"Suka banget dengan oatside kopi kenangan mantannya pos pengumben ❤️
Jenis pesanan…
Lainnya",5 bintang
Hj Haerudin,Orderan udah masuk 1 jam lebih blon jadi jadi juga karyawan nya lelet kurang gesit rugi miara karyawan ini,1 bintang
Nurul Shiva Astuti,"Saya order 2 kopi via aplikasi, bisa bisanya di kirim dengan rasa kopi yg basi
Makanan: 1",1 bintang
Kharisma Yogi,"Tempatnya bersih dan nyaman pelayanannya oke baristanya ramah
Makanan: 5…
Lainnya",5 bintang
Ariq Fakhriano,"lagunya jelek, idealist. playlist sesuka baristanya, bukan lagu trending
Suasana: 1",1 bintang
Vin Sriyadi,"Yuks utk barista pos pengumben nya bisa kasih senyum nya buat customer yg datang spt di kopken dewisartika, spbu pertamina durensawit, ruko pondok bambu, tebet raya, jati asih. kalo tempat pos pengumben sih enak luas nyaman.. ac dan non ac tersedia.. mantab.. sukses ya..kopken.. luar biasa deh kopken . Lainnya",4 bintang
Ninda Ayu,"pertama kali beli disini lewat gojek. beli kopken yg seliter, ternyata pas dateng rasanya asem gatau kenapa padahal langsung di taro kulkas. agak kecewa sih padahal suka banget beli kopken:( Lainnya",1 bintang
Gojo Satoru,"Enak banget tempatnya, kopi dan pastrynya enak, parkir luas 🔥 …
Makanan: 5…
Lainnya",5 bintang
Nur Oktaviani,"Tempatnya bagus, luas banget, kopinya enak pool 😊 …
Makanan: 5…
Lainnya",5 bintang
Citha Ahmad Pauzi,"Tempatnya nyaman, parkiran luas
Makanan: 5…
Lainnya",5 bintang
