Nama Pengulas,Ulasan,Rating
Hari,"SEMUANYA SEMPURNA. PASTI TEMPAT FAVORIT BARU SAYA UNTUK WFC.

Mereka punya mushalla yang layak, toilet, dan juga banyak tempat duduk dengan … Lainnya",5 bintang
Fadil,"Besar dan lebar
Waktu terbaik untuk kopi pagi
Kalo siang rame bingits oh 1 lg mushola nya ready
Makanan:…
Lainnya",5 bintang
Bella Jollie,Barista bernama Rafli adalah barista terburuk yang pernah saya temui di toko ini. Dulu saya hampir setiap hari mengunjungi tempat ini untuk sekadar membeli kopi. Saya tidak akan kembali lagi 👎🏻👎🏻👎🏻 … Lainnya,1 bintang
Amabyle Kezia Eleonora,"Tempat ini menurutku 10/10! Tempatnya super nyaman, WiFi stabil, pelayanannya luar biasa. Tapi playlist-nya??? Sempurna! Suasananya sempurna. Akan datang lagi secepatnya. Lainnya",5 bintang
Ectri Rinsula,"Tempatnya nyaman dan hangat, sempurna untuk bekerja dari rumah atau nongkrong bersama teman. Mereka juga menawarkan pilihan seduh manual, yang sangat cocok untuk pecinta kopi yang lebih menyukai rasa yang lebih bersih dan ringan. Pajangan … Lainnya",5 bintang
Maulida Widya,Apa logika di balik penempatan area rokok elektrik di dalam zona bebas rokok?,2 bintang
Fikra anggara,"Tempat yang bagus! Dalam dan luar ruangan
Makanan: 5…
Lainnya",5 bintang
Victoria Donda,"Sangat nyaman, aku menyukainya!
Makanan: 5…
Lainnya",5 bintang
Komang Ayu Ratih,"Tempat yang bagus untuk WFC.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Ydha Adtya,,5 bintang
Aditya Saputra,,5 bintang
saiful anwar,,5 bintang
Refta Tri Ernawati,,5 bintang
Ferry Happy,,5 bintang
Adabina,,5 bintang
Dilla Randilla,,5 bintang
Muhamad Zidan,,5 bintang
Al Fattah,,5 bintang
Moses Yosafat,,5 bintang
Awal Nurfaizi,,1 bintang
Roderick Kangson,"Tempat ini memiliki suasana yang cocok untuk bekerja dari rumah/belajar, tetapi wifi-nya sangat lambat sehingga terkadang saya harus menggunakan data seluler saya sendiri. Lainnya",5 bintang
Muhammad Rehan,,5 bintang
Hayfaza Nayottama,"Cocok untuk WFA (Wildlife Africa). Namun terkadang terlalu ramai, dan tidak semua tempat dekat dengan aliran listrik.",4 bintang
Nabrin Silaban,,5 bintang
Dyah Nuraini,"👍👍👍👍👍 …
Makanan: 5
Layanan:…
Lainnya",5 bintang
Achmad Fauzi,,5 bintang
Bebi Ng,,5 bintang
Tian Putra,,5 bintang
Willy Wijaya,,5 bintang
Decky Dark Zho Decky,,3 bintang
Erwinda,,5 bintang
OMR AL-ABBASI,"Buka 24/7
Selalu ramai
Jenis makanan
Sarapan…
Lainnya",4 bintang
Fahmi Ulfi,,5 bintang
Annisa Nastiti,"Tempat yang luas dengan banyak pilihan tempat duduk dan banyak colokan listrik, cocok untuk bekerja berjam-jam. Suasananya nyaman, tidak terlalu berisik di luar jam makan siang, tidak ada antrian panjang. Mereka juga memiliki 2 kios … Lainnya",4 bintang
Sulthan Alikhlaasul A'mal,,5 bintang
Tri Budiarto,"Tempatnya luas dan sangat nyaman untuk bekerja dari kafe. Tersedia banyak colokan listrik, dan area parkirnya juga cukup besar. Namun, kebersihan perlu ditingkatkan—terkadang sampah dibiarkan berserakan dan tidak segera dibersihkan, sehingga saya sesekali harus merapikan meja sendiri. Lainnya",4 bintang
Yani Suryani,,5 bintang
Asyila Muthi'ah Syamsuri,"Suasana terbaik!
Jenis makanan
Sarapan siang",5 bintang
Husin Gaper,"Kerumunannya stabil.
Jenis makanan
Lainnya…
Lainnya",5 bintang
Yuni Wati,,5 bintang
Achmad Rendy Ramadhan,,5 bintang
Abdul Agung Wijaya,"Rame banget akhir pekan tengah malam
Jenis makanan
Lainnya…
Lainnya",5 bintang
Rany Agatha,,5 bintang
Bella Adetia N,,5 bintang
Индра Гунаван,,5 bintang
Slice through words,"Izinn... markas besar nabi Luth
Makanan: 1…
Lainnya",1 bintang
Madhira Arasta,,2 bintang
Ghilman mumtaza,,5 bintang
Dede Herlina,,5 bintang
