Nama Pengulas,Ulasan,Rating
Aisheteru,"Mba yg ngelayaninnya jutek, mentang2 bayarnya pake tiktok.
Makanan: 3…
Lainnya",1 bintang
ilovematcha,"worst kopi kenangan outlet ever!!

mba2 yg layanin jutek bgt kalo gasalah namanya Vanesha / Vanisa? trus nanyain … Lainnya",1 bintang
Google User,tempat strategis. nyaman.  posisi wc di paling belakang harus melewati smooking area. mau mati rasanya kalau pas lewatii karena indoor yaa jadi bener2 bauu asepp bgtt. engaappp. parkir bayar 2.000 gedegg bgtt Lainnya,5 bintang
rndy azz,"Comfort kopken di jakpus ini, ceiling smooking indoornya oke, ac nya dingin mampus+++++, cuma ya service nya aja agak lumayan lama, padhaal crew staff nya banyak bgt. kalah salah pelayanan kopken pecenongan, walaupun ordernya overload tapi tetep gercep👍👌 … Lainnya",5 bintang
konten signal,"Saya pesan Creamy Aren Latte less coffee ukuran large 2 gelas.
Gelas pertama rasanya sesuai (lebih ringan).
Gelas kedua terasa jauh lebih pahit dan warnanya lebih pekat seperti normal … Lainnya",2 bintang
Nova Afriani,"Tolong dong itu tukang parkirnya orang cuma pick up doang take away kopi 20rb pake di mintain parkir segala. Malahan pas datang ga ada giliran mau keluar dia buru"" nyebrang dr BCA ke kopken. Hadehhh Lainnya",2 bintang
G M,"Toko sangat nyaman, & suasananya bagus
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Renaldy Dwi Muharram,"Toko yang menakjubkan dengan konsep baru. Senang berada di sini ☺
Jenis pesanan…
Lainnya",5 bintang
Geryan Cendra,😁 …,5 bintang
ardian arhoko,,5 bintang
Zakky Mubarok,,5 bintang
AHMAD FA'I FAI,,5 bintang
bilqisazkafaisal27 bilqisazkafaisal27,,5 bintang
PUTRI Hermala,,5 bintang
Nadila ekawati,,5 bintang
Putri Sakinah,,5 bintang
Saipul Anwar,,4 bintang
Anggun Pramono,,5 bintang
andri setiawan,,5 bintang
MR Masteng.,,5 bintang
Sunadi,,5 bintang
saif agill,,5 bintang
