nama_pengulas,ulasan,rating,nama_gerai
Mega Adinda,"Nyaman, bangkunya enak, adem bgt
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Marsha Alief Noermayanti,"kakak-kakaknya ramah dan helpful banget.
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Fitri Yant,"Rotinya keras , udh gt ayamnya ga fresh , kaya diangetin 2 x
Jenis pesanan…
Lainnya",1 bintang,KopiKenangan-RukoBendunganHilir(FCK)
windi larasati,"cozy tempatnya
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Gunawan Gundul,"Udah parkir susah.
Karyawannya juga Lemot lemot.
Sumpah disini Doang pelanyannya Super lama. Kebanyakan Bercanda. Lainnya",1 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Iwank Jibrut,"Ojol dan pengunjung reguler harus dipisah, agar ojol tidak menunggu pesanan terlalu lama
Jenis pesana…
Lainnya",1 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Rama Arya,"Asik si tempatnya, tp rame terus sering ga kebagian tempat
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Ahis Prastio,"Bersih, nyaman, dan AC super dingin cocok untuk WFC
Jenis pesanan
Makan …
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Haji Fitriyah,"Ini tempat ok banget pokok y rekomendasi bgt bisa untuk meeting kerjaan lewat zoom meeting
Makanan:…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
MUHAMMAD RAFI,"Karena semakin lama wifi nya lemot banget pdahal seru banget tempat nyaa
Jenis makanan…
Lainnya",2 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Ayu Henty,"Kopken sangat nyaman dan luas
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Elis Wulan,"tempat nya nyaman, barista cowo nyaa ramah
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Renhard Silalahi,"Kamar mandi td pg jorok banyak tisu berserak
Jenis pesanan
Makan di temp…
Lainnya",4 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Khalifa Rumi,"Tempatnya asik buat ngopi, ada ayam goreng juga murah pula👍 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
el gozz,"Super  lambat, KOPI koq llebih lama dari pizza limo
Layanan: 1",1 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Mira Wati,"Lama banget 30 menit cuma pesan thai tea
Makanan: 5…
Lainnya",2 bintang,KopiKenangan-RukoBendunganHilir(FCK)
jimmy leonardo Jimmy,Besttt tempat KK yang ada di jkt. Ini paling gokil,5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Jamie theZepeto,"lemot bgt baristanya busetttt
Makanan: 3…
Lainnya",2 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Siti Nurhasanah,Ruangan estetik banyak colokan,5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Sigiya Wiyadi,"Layananya memuaskan
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
karunia,Pelayanan nya lama banget 🙃 …,2 bintang,KopiKenangan-RukoBendunganHilir(FCK)
T H,"Pokoknyaaaa tempatnyaa enaakk
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Caesaria Suryaning Tyas,"staff di sana ramah - ramah🥹🤍 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Ramazan Goden,"Wifi Internet jelek tidak bisa pakai, Lantai atas AC rusak terpaksa duduk di bawah, bawah juga AC rusak tetes air dari AC ke meja dan barang2. Rasa Kopinya beda dengan sebelumnya, minta less sugar but masih manis saja.
Dulu tidak begitu jelek tempat ini kenapa sekarang jadi kacau begini ya? Lainnya",1 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Nelly zein,"tempat ternyaman sih buat wfc
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Atikah Nur Octavia,"barista yang cwe cwe the bestt seruu🥰🥰🥰 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Toto Wikanto,"Barista atas nama Widya dan Nadya ramah,asik
Jenis pesanan
Makan di temp…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Ade irnawan channel,"Keren tempat nya
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Febi,"Tempatnya luas, ada lantai 2 nya. Suasananya cozy dan cocok untuk WFC
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Ani Lestari,"Tempatnya cocok buat nongkrong santai, ngerjain tugas, ada dua lantai dan ada are outdoor. Mas kasirnya informatif asik juga, kopinya selalu enak roti nya juga boleh minta di angetin. Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Nadila Nurwijayantri,"PEGAWAI CEWE2 NYA PADA BERISIK, TERIAK2, KETAWA2 GAK JELAS!!
Jenis pesanan…
Lainnya",1 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Lely Non,"Bagus pelayanan nya dan cepat 🩷 …
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
M Syahid Sundana,Ayam Saudinya cukup enak. Toast Bambang menurut saya citarasanya memang tidak terlalu manis ya. Tepian toastnya yang model kering banget. Overall OK,4 bintang,KopiKenangan-RukoBendunganHilir(FCK)
nk lila,"Kak Nadia & kak sasha baik bangettttttt asik bgtttt ih gemesh
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Zarwanda Zarwanda,"Kopi kenangan benhil terbaikk
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Fajar,adem tempat nya,5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Oemar Ichsan,Kopi kenangan yang buka 24 jam disini. Boleh dibilang kopken yang paling lengkap yang pernah saya temui karena menu ayam goreng aja ada hehe. Tempatnya tidak begitu luas tapi cukup banyak tempat duduk. Toliet oke. Lainnya,5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Iswar Rama,Di dalam yang di lt.2 nya kurang karna cuaca sangat panas dan ac tidak nyala tempat pelayanan semua sudah ok tetapi hanya panas saja di dalam nya kalau cuaca sedang panas Lainnya,1 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Nayla ayudia,"Jujurly kopken cabang benhil ini tempatnya cozy bgt sih menurutku, cocok buat nugas. Makanan sama minumannya jg enak bgt pliss affordable jg, emang udh cinta mati bgt sama kopken ini.. buat pelayanan nya jg oke bgt sih sejauh ini, … Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Tamara Azahra,"makanannya enak banget dan aku di layanin sama ka sasa the bestttt layanannyaaa
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Keysha,"barista ramah, service cepet, overall tempatnya enak buat nongs
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Annisa Hendro Cahyani,"BAGUS BGTT SUKAK SEMUANYA🥰🥰 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Desta Alya Ramadhani,"minumannya enak, makanannya juga enak dan rasanya konsisten. tempatnya nyaman buat nongkrong. baristanya ramah banget, terutama yang namanya sasa, ramah dan cantik, bikin suasana jadi makin nyaman. jadi makin betah di sini. overall suka banget sama kopi kenangan benhil, pasti bakal sering balik lagi!",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Mosa puspita,"minumannya enak makanannya juga enak dan baristanya ramah banget dan cantik yg namanya salsa itu bikin nyaman banget kalo baristanya seramah ituu, suka banget nongkrong ni kopken benhil ini Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Siti Nur awalliyah,"pelayanannya ramah dan tempatnya bersih
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Muhammad Robby,"Mantapp banget makanan dan minuman nyaa
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Widya Nur Aisyah,"Rasa pas,nikmat, barista asik, tempatnya nyaman,
Jenis pesanan
Makan di …
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Widya Aisyah,"Nyaman banget asli tempatnya,baristanya ramah, rasa kopinya mantap polll
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
tarisa putri,"debesttttt tempatnya luass bangett nyamann bangett
Jenis pesanan
Makan d…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Laser,"Servernya yg kumisan jaga tgl 28 april malam kurang ramah, udah gitu ga mau input member, pdhl udah saya sebutin nomornya tp tetep ga diinput heheh. Sepele sih, tapi keliatan banget ga bisa ngikutin SOP Lainnya",3 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Arief Mochamad,"Selalu rame tempat ini mah. Strategis soalnya. Kalo kantor dah tutup tapi msh ada kerjaan, lanjut aja dimari. Lainnya",4 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Fajri Haloho,"Tempatnya sih ga gede, tapi cukup oke buat di pake nongkrong sih
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Nurul Amalia,"Gak tau apakah aku lagi apes aja, aku langganan banget dimanapun aku berada aku cari kopken. Tapi cuma disini rasanya paling hambar dan encer kopinya ga terlalu berasa kyk biasanya. Rame sih tapi kl kualitasnya dijaga sayang banget huft … Lainnya",3 bintang,KopiKenangan-RukoBendunganHilir(FCK)
al Fajar,"outlet kopi kenangan paling kacau , orang order online biar dateng tinggal pick up. ini udah order 30cmenit lebih pesenan ga di proses dan outlet dalam keadaan sepi",1 bintang,KopiKenangan-RukoBendunganHilir(FCK)
abdul ghofur,"Mantab
Makanan: 5
Layanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Tania Fitriyani,"mas mas yg beberes santai aja kali gausah dibanting banting, kan itu 24 jam masa resah ada customer nongkrong tengah malem Lainnya",1 bintang,KopiKenangan-RukoBendunganHilir(FCK)
ビール腹,"Saya sering membeli kopi di sini.

Suasananya sangat nyaman, bersih, dan stafnya ramah. … Lainnya",3 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Jago Greene,"Kami ke sini dua kali saat menginap di The Orient Hotel. Pertama kali, anak saya keracunan makanan, muntah berkali-kali. Saya pikir dia makan makanan lain, tapi saat ke sini lagi, saya diare, dan sekarang kami yakin itu karena minuman yang … Lainnya",1 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Ricky,"Buka 24 jam, banyak pilihan roti dan kopi, bisa pesan ayam goreng, ramai karena sangat strategis
Jeni…
Lainnya",4 bintang,KopiKenangan-RukoBendunganHilir(FCK)
putu nelly,"Walaupun tempatnya terlihat kecil, tempat duduknya cukup banyak dan letaknya juga di lantai 2.
Makanan:…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Windy Widjaya,"Pria yang bertugas di shift pagi itu benar-benar hebat.
Jenis pesanan
Ma…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Pratama Yudha Prawira,"Ayolah, terlalu berisik, terlalu ramai, dan bau di gedung ini sangat mengganggu. Perlu lebih banyak perbaikan untuk tempat ini. Lainnya",3 bintang,KopiKenangan-RukoBendunganHilir(FCK)
rahman ramadhan,"Wi-Fi tersedia, ramah WFC
Tarif per orang
Rp 25–50 rb…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Farhan Fadhilah,"Nyamanttt
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Willy Kazinama,"Mantaaapp👍 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Teguh Maulana,"Keramahtamahan yang baik
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Berlian Erni,"Besttt pkonyaa
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoBendunganHilir(FCK)
Kinanthi Indah,"Hallo kopken saya beli kopken di apk oren, beli kopi americano dan kopi kenangan mantan di outlet ini,  jujur ini keterlaluan si beans nya sudah apek tapi masih dibuat? Apakah tidak ada beans yang maasih fresh. Seblumnya apakah tidak di … Lainnya",1 bintang,KopiKenangan-RukoCiledugMencong
Rio Ladita,"Rasa kopi nya mantap konsisten kompleks
Pelayanan barista nya ramah god job ❤❤❤
Tempat dine in nya aja kurang enak kalo buat nongkrong lama selebihnya mantaapppa Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Byskr,"Staff nya kurang di edukasi soal promo2 yg berjalan. Kemarin mau pake promo bank saqu ga bisa, katanya ga ada menunya. Padahal di snk bank saqu ga ada pemberlakuan jam promo nya.",3 bintang,KopiKenangan-RukoCiledugMencong
Sefira Aulia,"The staff is only 1, tolong dong untuk outlet yg ini ditambah staffnya. Kasian 1 org merangkap semua jobdesc, jadi kasir sm barista.. Ga ada yg ngebantu, outlet lumayan penuh",3 bintang,KopiKenangan-RukoCiledugMencong
hilda feby,"12 april jam 21.57 mau pesen dibilang udah tutup, pas makesure lg bukannya jam 22.00 yaa tutupnya? Baru di layanin dengan lumayan jutek 2 staffnya. Padahal jam 22.00 udah jadi tuh kopi. Kenapa sih kaya gini aja di ribetin😭 … Lainnya",3 bintang,KopiKenangan-RukoCiledugMencong
Alfiyansyah 2005,"Saya pecinta kopi di outlet kopi kenangan tapi disini rasanya tuh baru didiamkan 5 menit uda tidak berasa/hambar, sepertinya racikannya tidak sesuai SOP atau gmana gtu.. Lalu wifi nya yang tertera di struknya tidak bisa koneksi. Lainnya",2 bintang,KopiKenangan-RukoCiledugMencong
heri suyono,pelayanan untuk online sangat jeleh order expres delevery sampai tempat blm di di proses...masa di samakan sm order food..tolong di perbaiki lagi beda sama resto lain datang antar Lainnya,1 bintang,KopiKenangan-RukoCiledugMencong
Maulina Silma,Gue setia sama kopken tpi benerbener kecewa banget sama pelayanannya. Biasa beli dari aplikasi trus delivery atau engga dipick up suami nah ini baru pertama kali pick up sama baby ditinggal suami eh ternyata suami ada kendala di jalan … Lainnya,1 bintang,KopiKenangan-RukoCiledugMencong
sarah,"barista kopken mencong menurut aku tiap ngeracik kopinya enak-enak banget daripada yang di cabang deket tj. gapernah kemanisan walaupun aku ordernya normal gulanya, trus kopinya nendang banget. selain itu, baristanya baik baik banget ramah banget 💕💕 … Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Rief AMD,"Lokasi dekat dengan rumah mudah di jangkau
Tarif per orang
Rp 25–50 rb…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Rea Silvia,"Kopi nya enak, pelayanan nya cepat 👍🏼 …",5 bintang,KopiKenangan-RukoCiledugMencong
WP MotoVlog,"Sepi, gak ada yg beli ada pesenan online gak dibikinin, nunggu apa kali
Makanan: 1…
Lainnya",1 bintang,KopiKenangan-RukoCiledugMencong
Vera Herawati,"Pelayanan baik ,staff nya ramah""   ,kopinya enak,dan enak buat nongkrong good bngt rasannya...
Jenis …
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Alvian Mus,"Racikan seperti tidak sesuai, beda rasanya dengan kopken yg lain
Makanan: 1…
Lainnya",1 bintang,KopiKenangan-RukoCiledugMencong
ZAINUDDIN Zai,"Tolong jadi pelayan terapkan 3S jangan jutek2 mba kya owner aja
Makanan: 1…
Lainnya",1 bintang,KopiKenangan-RukoCiledugMencong
alfian musthofa,"Es batu nya banyak bener.. isi nya cuma dikittt
Jenis pesanan
Bawa pulan…
Lainnya",2 bintang,KopiKenangan-RukoCiledugMencong
Topan Azis marta,"Sangat cocok untuk nongkrong semuannya baik"" ramah dan nikmat
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Asri Lathofta,Racikan kopi kenangannya paling enak menurutku tempatnya lumayan enak buat ngobrol karena ga ramai.Paling penting dekat dari rumah. Lainnya,5 bintang,KopiKenangan-RukoCiledugMencong
Airin Zaskia,"bagus
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Kiki Maria,oke,5 bintang,KopiKenangan-RukoCiledugMencong
day,"salah satu cabang yang kadang sebelum jam 7 dah bukaaa veri helpful
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Arief Nurhakim,"kopinya sangat enak
pelayanan cukup cepat
baristanya sangat ramah🖤🖤🖤 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
sri yuliatin,"pelayanan cepat, dan ramah
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Neng Lia,"pelayanan ramah,kopi nya juga enak
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
yeni ratnasari,"Udh beberapa kali ksni si
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
ghiyasy qodratunnada,"Rasanya tidak berubah tetap enak dan pelayanan yg ramah
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Ramadhani Putra,"Baristanya baik, kopinya enak
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Tegar Prayoga Tokici867,"Enak
Makanan: 5
Layanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
yesika 1703,"barista nya sat set, friendly juga
racikannya pas pokoknya bakal sering kesini lg karna seenak itu😍😍 … Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
syaa _,"Tempatnya bagus
Jenis makanan
Makan siang…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Chelsea Pratama,"cozy bgt tempatnya, pelayanannya satset, barista ramah
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Randy Bagus,"Pelayanan nya sangat baik
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
eL,"barista nya ramahhh, pelayanan nya jugaaa sangat cepattt, untuk after taste nyaa konsisten🙌🏻 …
Jenis …
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Solihin _n,"Tempat bersih
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
rafi ramadhan,"Nyaman tempat nya
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Farida Aryani,"Pelayanan nya maksimal...sering ada promo
Jenis makanan
Lainnya…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Zola Abdul,"Rasa kopinya enak..mantap
Jenis makanan
Sarapan siang…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
FTA PROJECT,"Pelayanan sangat cepat.
Jenis makanan
Sarapan…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Winda Rahmanita,"Barista ramah rasa kopi enak tempat nyaman
Tarif per orang
Rp 1–25.000…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Teguh Aprianto saputra,"Tempat kopi nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Novi Damayanti,"staffnya ramah2, buat kopinya enak buangetttt!!!!🤤❤️ …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
fitri Amanda,"Pelayanan nya cepet. Staff nya ramah². Tempat nya terjangkau dan nyaman. Asik buat dipake nongkrong
Makanan:…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
alayya mufidah,"sangat memuaskan
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Edo Krisdianto,"Service nya the best
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Zarr Constantine,"Mantap
Makanan: 5
Layanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Zahra Sari,"Mantab
Makanan: 5
Layanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Kafi Arifansyah,"baristanya ramah speed service rekomended!!’
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Mimi Saumi,"❤️❤️ best banget pelayanannya
dan kopinya enak 🥰 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Riyan miftahul Anwar,"baik
Makanan: 5
Layanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
veni narts,"Kopi nyaa enak mantap is the best
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
muhamad akbar,"pelayanannya cepat, baristanya ramah
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Dini Tri damayanti,"kopi nya enak pelayanan nya baik
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Sheva Qiana,Minuman bread nya enak sy suka..pelayanannya ramah mb nya cantiik bgt...tmpat nyaman..harga is oke pengen balik kesitu lagi.. Lainnya,5 bintang,KopiKenangan-RukoCiledugMencong
Odrie Yulita,"pelayanannya bagusss🤩🤩❤️ pada cantik2&ganteng2 jadi enak dipandang🤭🤭❤️ …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
adinda dwi asyifa,"baristanya yang namanya mutiara cantik banget<3
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Ivan Jgs,"Tempatnya bersih, pelayanan cepet kok...
Jenis pesanan
Makan di tempat",5 bintang,KopiKenangan-RukoCiledugMencong
rahmadyah fitrianingsih,Kopi kenangan emang yg terbaik si harga nya lumyan murah tapi rasa ngak murahan untuk cabang yg ini memang ngak semua dessert ad tapi varian kopinya komplit kok Lainnya,5 bintang,KopiKenangan-RukoCiledugMencong
Mrs.N,"Saya suka kopi kenangan. Cuma kemarin saya beli creamy aren latte gak ada rasa kopi sama sekali, wqrna juga dominan susu. Rasa cuma susu dan gula aren, ini lupa naro kopi atau kopi nya dikurangi yaa, karena biasanyaaa yang saya minum kopi dengan rasa cremy enaaaakkk Lainnya",4 bintang,KopiKenangan-RukoCiledugMencong
Zaidan Fadiel,"pelayakan lambat
Layanan: 1",1 bintang,KopiKenangan-RukoCiledugMencong
Livia,"kangen kue ini, cocok banget disandingkan dengan kopi",4 bintang,KopiKenangan-RukoCiledugMencong
Endang Antarwati,"Pos pemeriksaan pertama saya saat menuju kantor!!
Hidup memberi Anda cukup energi ketika ada kopi!!
T…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Martenz Vandreva,"Kopi yang enak dan pelayanan yang baik.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
n s,🤩 …,5 bintang,KopiKenangan-RukoCiledugMencong
Hilal Jhone,"Bagus
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Faiz Naufal,"Pelayanan prima
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
rabbani Bilfaqih,"Bagus 🙂 …
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoCiledugMencong
Faquita Almas Fitriyadi,"Cafe nya ada lantai 2 nya, bagian outdoor sama indoor, cukup luas sih, banyak stopkontak juga di tiap tembok samping meja nya.
Minuman dan pelayanan semua oke kok. Enak minumannya, pas, ga lama waktu … Lainnya",5 bintang,KopiKenangan-RukoGreenville
Stevano NB,"Saya coba yg promo tiramissu series, ini subjektif tapi menurut saya yg normal nya masih sedikit kemanisan … Lainnya",5 bintang,KopiKenangan-RukoGreenville
Nona Lisa,"Tempat paling nyaman dr semua kopi kenangan yg aku datangin, staf nya semua ramah. Tempat colokan juga banyak, pokoknya the best lah terutama mba Tiara 👍 kmn pun akan kembali kesini lagi dan lagi … Lainnya",5 bintang,KopiKenangan-RukoGreenville
annisa nurul,"Mba nya saat melayani seperti tidak niat, saat saya sebutkan mau pesen apa dia malah ketukketuk meja ga dengerin!!! Tolong sdm nya di perhatikan",1 bintang,KopiKenangan-RukoGreenville
Lilis Naryanti,"Orderan udah 30 menit baru dicetak struk,harus nunggu antrian reguler jg.
Nih outlet emang bodohnya gk berubah2",1 bintang,KopiKenangan-RukoGreenville
rani yani,"sumpah pelayanan staffnya jelek bgt si, pas dtg udh sebutin nama sama nomer blgnya waiting list tapi yg baru dateng langsung dapet. terus gue cuma ngeliatin aja ga ditanya2 hampir sejam. terus baru blg"" td kaka nomer brp ya namanya siapa"" … Lainnya",1 bintang,KopiKenangan-RukoGreenville
Eva Banjarnahor,"Dibiarkan menunggu sangat lama, saat menyampaikan mau pesan karena dicuekin, mbaknya menjawab sebentar tanpa menoleh sedikit pun. Pelayanan buruk sekali. Tolong lebih diperhatikan karyawannya terutama karyawan wanita tanpa hijab tanggal 19 Desember 2025 jam 10.40 Lainnya",1 bintang,KopiKenangan-RukoGreenville
Nur Effendi,"Kurang bagus pelayanannya, Sy pesan 100 kopi utk jam 5 sore, tapi Sy salah pesan mau ganti yg 75 dari Americano menjadi ke Kopi Kenangan Mantan dan Sy siap menambah biaya tambahan, tapi tidak bisa dengan alasan sudah di input padahal masih … Lainnya",1 bintang,KopiKenangan-RukoGreenville
Renita oktaviona,tempatnya bagus dan barista nya ramah ramah seperti kak shahrul dia hafal dengan pesanan saya hehehe👍🏻👍🏻👍🏻 … Lainnya,5 bintang,KopiKenangan-RukoGreenville
Herman Susanto,"Kopinya enak, pelayanan nya juga okee sering saya kesini sampe mbak tiara nya hapal persenan saya,, top lahhh 😄👍👍👍 … Lainnya",5 bintang,KopiKenangan-RukoGreenville
Hart Li,"Order Large (less ice, normal sugar) yg datang Reguler ; minta ganti sesuai order malah hanya di tuang ke Cup Large lalu di tambah es batu yang banyaaak.
Ini bukan nya Less ice lageh, jadinya Normal/Full ice tapi kopi nya sedikit. … Lainnya",1 bintang,KopiKenangan-RukoGreenville
ryn,"Pelayanan sangat buruk, untuk ke 2 kalinya dicuekin oleh kasir dan dibiarkan menunggu lama tanpa omongan apa2 Lainnya",1 bintang,KopiKenangan-RukoGreenville
Yance Cobra,"kopinya enak, langganan setiap hari
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville
Hunnies Bee,"Barista nya ramah"".... always langganan di sini
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville
risma silaban,Keren.. nyaman bt nongkrong.mba Tiara orangnya ramah dan yg lainnya jg.kopinyw jangan ditanya pastinya enakkk... Lainnya,5 bintang,KopiKenangan-RukoGreenville
Diana Dewi,"Tempat nya nyaman dan dingin, cepet pelayanan nya. Kak Tiara hafal sama namaku ♥️
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville
Uway Zam,"tempatnya nyamannn buat nongki, pegawainya juga ramah ramahhh
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville
FELIX HARYANTO,"7/2/2026 jam 20:47. Pelayan cowok tidak bagus pelayanannya
Makanan: 1…
Lainnya",1 bintang,KopiKenangan-RukoGreenville
